missingPings,totalPings,wardsPlaced,wardsKilled,detectorsPlaced,position,cctime,turretTakedowns,turretsLost,duration,champ,win
4,8,2,2,1,SOLO,28,1,11,1824,Sion,False
3,37,1,9,0,NONE,15,0,11,1824,Sylas,False
2,5,10,6,1,CARRY,26,3,11,1824,Caitlyn,False
25,66,10,4,0,SOLO,0,0,11,1824,Sivir,False
16,55,28,5,4,SUPPORT,38,0,11,1824,Soraka,False
7,10,10,1,0,SOLO,11,7,4,1824,Vayne,True
5,64,4,2,3,NONE,12,4,4,1824,Zed,True
5,42,16,4,7,SOLO,42,4,4,1824,Malzahar,True
2,19,4,2,0,CARRY,14,2,4,1824,Jinx,True
0,87,40,9,8,SUPPORT,52,6,4,1824,Leona,True
2,20,7,0,0,NONE,7,4,0,1252,Ambessa,True
2,32,6,1,0,NONE,5,2,0,1252,Viego,True
7,35,6,2,0,SOLO,24,5,0,1252,Malphite,True
0,2,7,0,0,CARRY,35,4,0,1252,Mel,True
2,6,16,6,0,SUPPORT,46,2,0,1252,Morgana,True
4,11,8,1,0,SOLO,3,0,10,1252,Vladimir,False
9,22,1,1,0,NONE,9,0,10,1252,Udyr,False
5,28,8,1,1,SOLO,1,0,10,1252,Tristana,False
0,7,11,0,5,CARRY,17,0,10,1252,Syndra,False
4,14,10,2,1,SUPPORT,11,0,10,1252,Renata,False
4,39,10,2,0,SOLO,17,7,3,1874,Olaf,True
5,91,3,1,1,NONE,12,2,3,1874,Naafiri,True
1,48,7,3,3,SOLO,31,2,3,1874,Rakan,True
9,28,11,4,2,CARRY,0,6,3,1874,Ezreal,True
14,18,46,5,10,SUPPORT,28,3,3,1874,Xerath,True
3,28,11,1,1,SOLO,24,3,9,1874,Briar,False
29,145,2,9,0,NONE,42,0,9,1874,RekSai,False
14,94,10,3,2,SOLO,37,0,9,1874,Zoe,False
3,20,9,1,1,CARRY,0,0,9,1874,Kaisa,False
13,51,36,9,8,SUPPORT,38,0,9,1874,Thresh,False
9,40,7,2,1,SOLO,42,2,6,1713,Udyr,False
8,69,5,7,1,NONE,33,2,6,1713,Sylas,False
5,17,7,1,0,SOLO,3,1,6,1713,Naafiri,False
7,47,8,2,0,CARRY,16,2,6,1713,Yunara,False
0,5,30,3,1,SUPPORT,29,0,6,1713,Lulu,False
6,17,8,2,0,SOLO,12,3,5,1713,Ambessa,True
5,22,11,3,2,NONE,15,0,5,1713,LeeSin,True
5,17,7,7,3,SOLO,36,4,5,1713,Zoe,True
3,28,9,8,0,CARRY,55,6,5,1713,Ashe,True
1,36,20,2,3,SUPPORT,32,1,5,1713,Seraphine,True
2,15,12,6,0,SOLO,19,5,6,2007,Fiora,True
10,193,14,8,4,NONE,18,4,6,2007,Viego,True
