deaths,dragonKills,baronKills,firstBloodKill,firstBloodAssist,kills,lane,neutralMinionsKilled,turretTakedowns,turretsLost,visionScore,goldEarned,timeCCingOthers,enemyMissingPings,clearedPings,totalPings,wardsPlaced,wardsKilled,detectorPlaced,position,duration,win
8,0,0,False,False,3,TOP,4,1,11,12,11011,28,4,0,8,2,2,1,SOLO,1824,False
12,1,0,False,False,6,JUNGLE,143,0,11,27,10711,15,3,0,37,1,9,0,NONE,1824,False
5,0,0,False,False,4,MIDDLE,8,3,11,22,14477,26,2,0,5,10,6,1,CARRY,1824,False
6,0,0,False,False,3,BOTTOM,0,0,11,19,10103,0,25,0,66,10,4,0,SOLO,1824,False
7,0,0,False,False,0,MIDDLE,0,0,11,59,6981,38,16,0,55,28,5,4,SUPPORT,1824,False
6,0,1,True,False,8,TOP,12,7,4,13,14355,11,7,0,10,10,1,0,SOLO,1824,True
0,3,0,False,False,16,JUNGLE,196,4,4,26,17790,12,5,0,64,4,2,3,NONE,1824,True
3,0,0,False,False,4,MIDDLE,0,4,4,25,12716,42,5,0,42,16,4,7,SOLO,1824,True
4,1,0,False,False,9,BOTTOM,8,2,4,7,13576,14,2,0,19,4,2,0,CARRY,1824,True
3,0,0,False,False,1,BOTTOM,0,6,4,84,9536,52,0,0,87,40,9,8,SUPPORT,1824,True
0,0,0,False,False,6,JUNGLE,4,4,0,10,9929,7,2,0,20,7,0,0,NONE,1252,True
1,2,0,False,False,5,JUNGLE,150,2,0,11,9630,5,2,0,32,6,1,0,NONE,1252,True
2,0,0,False,False,2,MIDDLE,0,5,0,12,7991,24,7,0,35,6,2,0,SOLO,1252,True
1,0,0,True,False,14,BOTTOM,0,4,0,10,13082,35,0,0,2,7,0,0,CARRY,1252,True
0,0,0,False,True,3,BOTTOM,0,2,0,37,7603,46,2,0,6,16,6,0,SUPPORT,1252,True
4,0,0,False,False,0,TOP,0,0,10,12,6550,3,4,0,11,8,1,0,SOLO,1252,False
6,1,0,False,False,2,JUNGLE,112,0,10,8,6631,9,9,0,22,1,1,0,NONE,1252,False
7,0,0,False,False,1,MIDDLE,0,0,10,13,6456,1,5,0,28,8,1,1,SOLO,1252,False
4,0,0,False,False,1,BOTTOM,0,0,10,13,6925,17,0,0,7,11,0,5,CARRY,1252,False
