deaths,dragonKills,baronKills,firstBloodKill,firstBloodAssist,kills,lane,neutralMinionsKilled,turretTakedowns,turretsLost,visionScore,goldEarned,timeCCingOthers,enemyMissingPings,clearedPings,totalPings,wardsPlaced,wardsKilled,detectorPlaced,position,duration,win
8,0,0,False,False,3,TOP,0,0,11,17,10188,21,10,0,36,10,2,0,SOLO,1800,False
10,1,0,False,False,3,JUNGLE,120,0,11,23,9722,7,11,0,40,1,10,0,NONE,1800,False
8,0,0,False,False,3,MIDDLE,0,1,11,7,8928,55,2,0,17,5,0,0,SOLO,1800,False
6,0,0,True,False,9,BOTTOM,0,0,11,20,14909,19,3,0,18,11,1,1,CARRY,1800,False
9,0,0,False,True,4,BOTTOM,0,0,11,60,8496,85,4,0,42,33,4,2,SUPPORT,1800,False
4,0,0,False,False,13,TOP,4,6,1,22,17309,52,0,0,16,12,1,0,SOLO,1800,True
2,4,1,False,False,6,JUNGLE,206,2,1,83,13676,69,5,0,45,4,11,4,NONE,1800,True
4,0,0,False,False,10,MIDDLE,8,6,1,21,14127,11,6,0,17,8,4,0,SOLO,1800,True
4,0,0,False,False,9,BOTTOM,8,4,1,15,13455,4,6,0,35,9,3,0,CARRY,1800,True
9,0,0,False,False,3,BOTTOM,2,8,1,60,10579,29,5,0,35,26,5,2,SUPPORT,1800,True
16,0,0,False,True,18,TOP,0,2,4,0,16889,17,12,0,14,0,0,0,SUPPORT,1289,False
14,0,0,False,True,16,TOP,0,2,4,0,16058,53,2,0,5,0,0,0,SUPPORT,1289,False
14,0,0,False,True,15,TOP,0,2,4,0,15967,41,0,0,1,0,0,0,DUO,1289,False
20,0,0,False,True,7,MIDDLE,0,0,4,0,13193,76,0,0,2,0,0,0,SOLO,1289,False
19,0,0,True,False,13,JUNGLE,0,2,4,0,15263,44,1,0,6,0,0,0,NONE,1289,False
13,0,0,False,False,7,TOP,0,3,2,0,14235,67,0,0,0,0,0,0,DUO,1289,True
16,0,0,False,False,34,TOP,0,3,2,0,19138,33,6,0,29,0,0,0,SUPPORT,1289,True
14,0,0,False,False,15,TOP,0,2,2,0,15881,49,1,0,2,0,0,0,SUPPORT,1289,True
11,0,0,False,False,21,MIDDLE,0,2,2,0,17347,73,0,0,0,0,0,0,CARRY,1289,True
15,0,0,False,False,6,MIDDLE,0,2,2,0,13778,56,0,0,0,0,0,0,SUPPORT,1289,True
4,0,0,False,False,0,TOP,3,0,6,10,6585,3,2,0,20,6,0,0,SOLO,1284,False
9,0,0,False,False,5,JUNGLE,87,0,6,20,7757,8,0,0,32,8,3,4,NONE,1284,False
4,0,0,False,False,1,MIDDLE,0,1,6,4,7353,8,6,0,9,2,0,1,SOLO,1284,False
3,0,0,False,False,2,BOTTOM,0,0,6,5,8804,13,0,0,1,4,0,0,CARRY,1284,False
4,0,0,False,False,1,BOTTOM,0,0,6,31,4749,12,1,0,10,17,1,0,SUPPORT,1284,False
3,0,0,False,False,2,TOP,0,3,1,14,7908,13,8,0,9,6,2,0,SOLO,1284,True
2,2,0,False,False,8,JUNGLE,185,1,1,15,12083,4,1,0,31,3,1,0,NONE,1284,True
2,0,0,False,False,7,MIDDLE,9,3,1,14,10168,3,5,0,23,5,3,0,SOLO,1284,True
1,0,0,True,False,4,JUNGLE,0,5,1,7,9780,12,7,0,40,5,2,0,NONE,1284,True
1,0,0,False,True,3,BOTTOM,0,3,1,53,6998,21,5,0,21,23,5,2,SOLO,1284,True
6,0,0,False,False,6,MIDDLE,0,0,0,0,12310,14,0,0,0,0,0,0,SUPPORT,1441,False
6,0,0,False,False,14,TOP,0,0,0,0,21345,30,0,0,0,0,0,0,DUO,1441,True
6,0,0,False,False,10,TOP,0,0,0,0,22880,42,0,0,1,0,0,0,DUO,1441,True
7,0,0,False,True,13,TOP,0,0,0,0,15820,6,0,0,0,0,0,0,SUPPORT,1441,True
4,0,0,True,False,4,TOP,0,0,0,0,20873,70,0,0,2,0,0,0,SUPPORT,1441,True
6,0,0,False,False,7,TOP,0,0,0,0,22650,4,0,0,0,0,0,0,SUPPORT,1441,True
7,0,0,False,False,10,TOP,0,0,0,0,20600,20,0,0,0,0,0,0,SUPPORT,1441,True
5,0,0,False,False,2,JUNGLE,0,0,0,0,11000,81,0,0,1,0,0,0,NONE,1441,False
9,0,0,False,False,8,JUNGLE,0,0,0,0,11540,9,0,0,0,0,0,0,NONE,1441,False
6,0,0,False,False,4,MIDDLE,0,0,0,0,12300,53,0,0,1,0,0,0,SUPPORT,1441,False
9,0,0,False,False,0,TOP,2,0,11,17,8877,44,1,0,7,9,0,0,SOLO,1710,False
